ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2023,11680,강남구,10100,역삼동,1,대지,0832,0003,강남역 쉐르빌,2023-05-18,24500,22.65,32.39,14.0,,,2014,오피스텔,중개거래,서울 강남구
2023,11500,강서구,10300,화곡동,1,대지,0350,0026,까치타운가동,2023-05-18,9900,36.64,19.68,-1.0,,,1991,연립다세대,중개거래,경기 고양일산서구
2023,11440,마포구,10200,공덕동,1,대지,0030,0010,솔리스타,2023-05-18,17500,18.79,25.9,9.0,,,2018,오피스텔,중개거래,서울 마포구
2023,11620,관악구,10200,신림동,1,대지,0408,0046,가온빌,2023-05-18,28600,52.36,35.82,2.0,,,2017,연립다세대,중개거래,서울 관악구
2023,11410,서대문구,10900,현저동,1,대지,1019,0000,독립문파크빌,2023-05-18,51500,59.4,0.0,3.0,,,2000,아파트,중개거래,서울 종로구
2023,11350,노원구,10300,공릉동,1,대지,0714,0000,삼익4단지아파트,2023-05-18,41000,39.6,0.0,11.0,,,1994,아파트,중개거래,서울 노원구
2023,11740,강동구,10200,고덕동,1,대지,0210,0001,고덕센트럴푸르지오,2023-05-18,58000,59.14,0.0,9.0,,,2020,아파트,직거래,
2023,11200,성동구,10700,행당동,1,대지,0347,0000,대림e-편한세상,2023-05-18,54700,59.96,0.0,14.0,,,2000,아파트,직거래,
2023,11650,서초구,10800,서초동,1,대지,1642,0014,서초롯데캐슬84,2023-05-18,207101,208.63,0.0,9.0,,,2001,아파트,직거래,
2023,11470,양천구,10200,목동,1,대지,0505,0006,아우름,2023-05-18,23400,36.04,23.49,5.0,,,2008,연립다세대,중개거래,서울 은평구
2023,11740,강동구,10900,천호동,1,대지,0326,0022,신안아트빌(E동),2023-05-18,22000,37.07,21.0,4.0,,,2012,연립다세대,직거래,
2023,11380,은평구,10700,응암동,1,대지,0081,0051,양지스카이뷰,2023-05-18,26300,27.89,20.19,3.0,,,2020,연립다세대,중개거래,서울 은평구
2023,11440,마포구,11400,창전동,1,대지,0444,0000,서강예가,2023-05-18,132000,84.99,0.0,15.0,,,2007,아파트,중개거래,서울 마포구
2023,11545,금천구,10300,시흥동,1,대지,0930,0000,청명주택,2023-05-18,20000,51.47,24.23,3.0,,,2003,연립다세대,직거래,
2023,11620,관악구,10200,신림동,,,,,,2023-05-18,40000,134.62,93.0,0.0,,,1984,단독다가구,직거래,
