ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2023,11650,서초구,10800,서초동,1,대지,1328,0011,대우도씨에빛2,20230504,38500,38.81,50.85,14.0,,,2005,오피스텔,중개거래,서울 서초구
2023,11620,관악구,10200,신림동,1,대지,1567,0025,태성휴빌3차,20230504,17200,24.76,15.99,6.0,,,2015,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0044,0008,비즈트위트 오렌지,20230504,12000,17.81,26.91,18.0,,,2013,오피스텔,직거래,
2023,11410,서대문구,11800,홍은동,,,,,,20230504,45000,39.67,142.0,0.0,,,1988,단독다가구,중개거래,서울 서대문구
2023,11380,은평구,11400,진관동,1,대지,0100,0003,아이파크 포레스트 게이트,20230504,14400,24.91,35.78,24.0,,,2013,오피스텔,중개거래,서울 은평구
2023,11200,성동구,10600,사근동,1,대지,0315,0000,한양마이라움,20230504,16500,17.99,0.0,3.0,,,2018,아파트,직거래,
2023,11380,은평구,11400,진관동,1,대지,0100,0003,아이파크 포레스트 게이트,20230504,13900,24.91,35.78,13.0,,,2013,오피스텔,중개거래,서울 은평구
2023,11440,마포구,11600,하중동,1,대지,0101,0000,한강밤섬자이,20230504,174500,118.28,0.0,2.0,,,2010,아파트,중개거래,서울 마포구
2023,11440,마포구,12200,합정동,1,대지,0443,0001,위산빌라,20230504,39500,60.09,33.05,3.0,,,2010,연립다세대,직거래,
2023,11380,은평구,10700,응암동,1,대지,0117,0035,미소세상,20230504,27000,29.99,0.0,8.0,,,2017,아파트,중개거래,서울 은평구
2023,11740,강동구,10900,천호동,1,대지,0573,0000,강동리버스타운,20230504,27500,30.06,19.29,2.0,,,2018,연립다세대,직거래,
2023,11440,마포구,12200,합정동,1,대지,0443,0013,백운빌라9차,20230504,42000,40.28,26.58,2.0,,,1992,연립다세대,중개거래,서울 마포구
2023,11380,은평구,11400,진관동,1,대지,0100,0002,은평뉴타운 신한 헤센스마트,20230504,11300,20.04,32.2,7.0,,,2017,오피스텔,중개거래,서울 은평구
2023,11230,동대문구,10900,휘경동,1,대지,0183,0353,스페이스 에이치,20230504,15000,14.76,23.5,8.0,,,2019,오피스텔,중개거래,서울 동대문구
2023,11620,관악구,10100,봉천동,1,대지,1712,0000,관악드림(삼성),20230504,78000,84.96,0.0,3.0,,,2003,아파트,중개거래,서울 관악구
2023,11230,동대문구,10200,용두동,1,대지,0104,0034,가우디캐슬,20230504,13900,15.63,19.48,4.0,,,2019,오피스텔,직거래,
2023,11440,마포구,10800,대흥동,1,대지,0325,0038,(325-38),20230503,44000,50.29,24.81,-1.0,,,1995,연립다세대,중개거래,서울 마포구
2023,11290,성북구,13300,정릉동,1,대지,0314,0001,한울스페이스,20230503,26000,48.49,42.21,4.0,,,2018,연립다세대,중개거래,서울 종로구
2023,11305,강북구,10100,미아동,1,대지,0791,1692,세명그린빌(791-1692),20230503,22800,68.6,33.93,3.0,,,2007,연립다세대,중개거래,서울 강북구
2023,11680,강남구,10800,논현동,1,대지,0148,0008,케아하우스,20230503,30500,29.64,18.0,2.0,,,2015,연립다세대,중개거래,서울 서초구
2023,11290,성북구,13300,정릉동,1,대지,0170,0035,우진빌,20230503,27000,50.62,32.12,4.0,,,2003,연립다세대,직거래,
2023,11620,관악구,10100,봉천동,,,,,,20230503,103000,191.16,119.0,0.0,,,1993,단독다가구,중개거래,"서울 관악구, 서울 양천구"
2023,11410,서대문구,11200,대현동,1,대지,0045,0005,이화인비따레오피스텔,20230503,14500,24.29,35.55,3.0,,,2004,오피스텔,중개거래,서울 서대문구
2023,11530,구로구,10200,구로동,1,대지,0685,0222,주공1,20230503,78000,73.68,0.0,10.0,,,1986,아파트,중개거래,서울 구로구
